title,genre,rating,size,release_year,platform,description,cover_image_url,video_url,screenshot
Battlefield 5,"[""FPS"", ""War""]",8,43,2018,PS4,"Bagi para pencinta aksi tembak-menembak yang menegangkan, jangan lewatkan seri game Electronic Arts. Salah satu yang akan membuat Anda ketagihan adalah seri game “Battlefield V”. Ini adalah salah satu sekuel dari seri game Battlefield yang dirilis beberapa tahun lalu. Karena gameplay yang menarik dan antarmuka yang memukau, game ini telah merebut basis penggemar yang besar di seluruh dunia saat ini. Game ini dibuat berdasarkan simulasi Perang Dunia II dengan serangkaian perang yang terjadi dalam konteks Perang Dunia I. Mirip dengan seri game sebelumnya, pemain dapat berpartisipasi dalam pertempuran dalam mode multipemain dengan dua kampanye utama “Firestorm” dan “Grand Operations”. Di mana pemain harus melakukan misi yang diberikan dalam game yaitu menghancurkan semua musuh di setiap putaran kampanye. Peta di area pertempuran akan terus menyempit dalam waktu tertentu, jika pemain bertahan dalam kampanye tersebut dan menjadi yang terakhir dalam pertandingan, mereka akan memenangkan kemenangan akhir.",https://romsfun.com/wp-content/uploads/2019/11/battlefield-v-ps4.jpg,,
Bioshock The Collection,"[""FPS"", ""Adventure""]",9.4,55,2016,PS4,"Kembali ke kota Rapture dan Columbia dan alami franchise BioShock yang memenangkan penghargaan seperti belum pernah sebelumnya, dengan remaster yang indah dalam resolusi 1080p. BioShock: The Collection berisi semua konten pemain tunggal dari BioShock, BioShock 2, dan BioShock Infinite, semua konten tambahan pemain tunggal, paket Columbias Finest, dan Komentar Sutradara: Membayangkan BioShock, yang menampilkan Ken Levine dan Shawn Robertson. *Remaster dalam resolusi 1080p. *Game utama BioShock dan semua DLC pemain tunggal. *Game utama BioShock 2 dan semua DLC pemain tunggal. *Game utama BioShock Infinite dan semua DLC pemain tunggal. *Komentar Sutradara: Membayangkan BioShock, yang menampilkan Ken Levine dan Shawn Robertson.",https://romsfun.com/wp-content/uploads/2021/04/1618735589-2245073f-8d76-45e3-9885-fc5af88f1efc.jpg,,
Bloodborne,"[""Action"", ""RPG""]",9.7,31.27,2015,PS4,"Sebuah game RPG aksi di mana pemain berperan sebagai seorang Pemburu yang, setelah menerima transfusi darah misterius dari kota Yharnam, memulai ""malam perburuan"", malam panjang di mana para Pemburu dapat berpindah-pindah antara mimpi dan kenyataan untuk mengurangi wabah makhluk buas mengerikan yang mengganggu negeri itu dan, bagi para Pemburu yang lebih tangguh dan berwawasan, mengungkap jawaban atas banyak misteri perburuan tersebut.",https://romsfun.com/wp-content/uploads/2025/04/Bloodborne.jpg,,
Call of Duty Modern Warfare II,"[""FPS"", ""Action""]",9.3,55,2022,PS4,Operasi taktis modern dengan grafis generasi terbaru.,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//112/MTA-68768275/sony_bd_ps4_call_of_duty-_modern_warfare_ii_-_cross-gen_bundle_reg_3_full01_k24ha5vu.jpg,,
Call Of Duty Modern Warfare Remastered-CUSA03522,"[""FPS"", ""Action""]",9.1,55,2016,PS4,Remaster penuh dari Modern Warfare klasik.,https://romsfun.com/wp-content/uploads/2021/07/Call_of_Duty_Modern_Warfare_Remastered_PS4__12837.1572857472-300x379-1.jpg,,
Call Of Duty Ghost,"[""FPS"", ""Action""]",7.8,30.9,2013,PS4,"“Call of Duty: Ghosts” dikenal sebagai gim video tembak-menembak yang dikembangkan oleh perusahaan gim Infinity Ward. Ini adalah gim ke-10 dalam seri gim Call of Duty dan dirilis oleh Activision pada tahun 2013. Dalam gim ini, sebagian besar pemain akan mengendalikan karakter Logan Walker untuk berpartisipasi dalam pertempuran senjata yang intens. Selain Logan, pemain masih dapat mengendalikan karakter lain seperti astronot Baker, Sersan Thompson, Elias Walker, dan lain-lain. Gim ini memiliki banyak fitur yang telah diubah dibandingkan dengan versi sebelumnya. Alih-alih peta yang menunjukkan area, sekarang peta akan diubah atau dihancurkan. Jika pemain membunuh pemimpin tim lawan, pemain akan menerima rantai pembunuhan ODIN dan akan mengambil koper hijau ketika misi selesai. Mode “Squads” baru dalam gim ini memungkinkan pemain untuk membangun regu mereka dan bertempur melawan tim lain di seluruh dunia. Di mana tim diperbolehkan memainkan hingga 10 karakter berbeda. Mode permainan meliputi Squad Assault, SafeGuard, Infinite Protection, Squad vs Squad, dan Wargame yang dapat dimainkan baik secara online maupun offline.",https://romsfun.com/wp-content/uploads/2019/11/Duty-Ghosts-ps4.png,,
Construction Simulator,"[""Simulation""]",7.2,12,2019,PS4,"Construction Simulator kembali hadir – lebih besar dan lebih baik dari sebelumnya! Kembali bekerja dengan armada kendaraan yang ukurannya akan membuat Anda takjub. Selain merek-merek seperti Caterpillar, CASE, dan BELL yang sudah familiar dalam seri Construction Simulator, Anda dapat mengendarai mesin-mesin berlisensi baru dari mitra seperti DAF dan Doosan – total lebih dari 70 unit. Bangun sesuka hati Anda di dua peta, yang terinspirasi oleh lanskap di AS dan Jerman.","https://m.media-amazon.com/images/I/71yWcJ7l9GL._AC_UF1000,1000_QL80_.jpg",,
Crash Bandicoot N Sane Trilogy PS4-BlaZe,"[""Platformer"", ""Adventure""]",8.5,23,2017,PS4,Remaster tiga game Crash Bandicoot klasik.,https://romsfun.com/wp-content/uploads/2019/11/crash-bandicoot-n.-sane-trilogy-ps4-300x370.png,,
Crash Team Racing Nitro Fueled,"[""Racing"", ""Arcade""]",9,20,2019,PS4,Remake CTR dengan grafis modern dan multiplayer online.,https://romsfun.com/wp-content/uploads/2021/04/1618735638-01e3753f-4c29-4b64-9626-3bab82bd91fd-300x376.jpg,,
Cyberpunk 2077,"[""Action"", ""RPG"", ""Open World""]",9,70,2020,PS4,"Cyberpunk 2077 adalah gim video role-playing aksi tahun 2020 yang dikembangkan dan diterbitkan oleh CD Projekt. Gim ini dijadwalkan akan dirilis untuk Microsoft Windows, PlayStation 4, Stadia, dan Xbox One pada 10 Desember 2020, dan untuk PlayStation 5 dan Xbox Series X/S pada tahun 2021. Kisahnya berlatar di Night City, dunia terbuka yang berlatar di alam semesta Cyberpunk. Pemain mengambil perspektif orang pertama dari seorang tentara bayaran yang dapat disesuaikan bernama V, yang dapat memperoleh keterampilan dalam peretasan dan permesinan dengan pilihan untuk pertarungan jarak dekat dan jarak jauh.",https://romsfun.com/wp-content/uploads/2024/07/Cyberpunk-2077.jpg,,
DARK SOULS III,"[""Action"", ""RPG""]",8.9,23.37,2016,PS4,"Game action RPG dengan tingkat kesulitan tinggi, pertarungan brutal, dan dunia dark fantasy.",https://romsfun.com/wp-content/uploads/2020/12/The_Fire_Fades_Edition.jpg,,
Days Gone,"[""Action"", ""Adventure"", ""Open World""]",8.4,35.06,2019,PS4,"Zombie muncul dari pandemi global. Pandemi tersebut membunuh istri Deacon St. John, tetapi penyebabnya tidak diketahui. Jumlah manusia jauh lebih sedikit daripada yang terinfeksi setelah dua tahun. Zombie dan yang terinfeksi hanya memiliki sedikit kesamaan selain memakan manusia. Hewan-hewan yang cepat dan ganas ini bergerak dalam kelompok atau gerombolan, memiliki berbagai jenis, dan membunuh tanpa perlu tembakan di kepala. Deacon, seorang pengembara, tinggal bersama teman lamanya dari geng motor, Boozer. Mengumpulkan barang dan tugas-tugas lain menghidupi mereka. Geng manusia dan bandit lebih menakutkan daripada yang terinfeksi. Semua misi utama dan sampingan menceritakan kisah. Setiap cerita memiliki pohon kemajuan dengan tugas yang telah selesai dan yang sedang berlangsung. Misi dan peristiwa memengaruhi beberapa cerita. Beberapa peristiwa cerita di peta dunia akan berakhir jika tidak diikuti. Alur cerita utama memiliki beberapa kilas balik pra-pandemi yang dapat dimainkan.",https://romsfun.com/wp-content/uploads/2023/12/Days-Gone.jpg,,
Dead by Daylight,"[""Horror"", ""Multiplayer""]",8,40,2017,PS4,"Melarikan diri dari medan pembantaian tanpa tertangkap. Selami pengalaman horor online asimetris di mana empat pemain memasuki lingkungan yang tidak terduga dan dihasilkan secara prosedural, dan berusaha sebaik mungkin untuk mengakali pemain kelima – seorang pembunuh kejam yang haus darah. Sebagai pembunuh, pilih dari berbagai karakter horor klasik – mulai dari maniak yang menggunakan parang hingga makhluk paranormal dari dunia lain – dan berburu di area tersebut dalam sudut pandang orang pertama menggunakan keterampilan unik Anda untuk melacak, menyiksa, atau membantai korban Anda. Sebagai penyintas, pilih salah satu dari sembilan individu pemberani – masing-masing dengan keunggulan mereka sendiri – dan bekerja sama dengan orang lain atau berjuang sendiri saat Anda memperbaiki generator yang rusak yang tersebar di seluruh arena dan memulihkan daya ke gerbang elektronik yang menghalangi jalan keluar Anda. Setiap karakter, baik penyintas maupun pembunuh, memiliki jalur perkembangan mereka sendiri, memungkinkan Anda untuk mengembangkan keterampilan Anda dengan karakter favorit Anda dan mengasahnya sesuai gaya bermain pilihan Anda.",https://romsfun.com/wp-content/uploads/2021/04/1618735660-f235ad85-2bc3-4194-8027-fa6f8d80fe18.jpg,,
Death Stranding,"[""Action"", ""Adventure""]",8.6,55,2019,PS4,"Masa Depan Ada di Tanganmu Setelah runtuhnya peradaban, Sam Bridges harus melakukan perjalanan melintasi lanskap yang hancur dan dipenuhi ancaman dari dunia lain untuk menyelamatkan umat manusia dari ambang kepunahan. Dari pencipta game legendaris Hideo Kojima hadir pengalaman baru yang menantang genre untuk sistem PlayStation®4. Dibintangi oleh Norman Reedus, Mads Mikkelsen, Léa Seydoux, dan Lindsay Wagner.",https://romsfun.com/wp-content/uploads/2021/04/1618735669-fc41d806-eb9d-4cb4-9832-8889b3207e9b.png,,
Devil May Cry 4 Special Edition,"[""Action"", ""Hack and Slash""]",8.1,20.27,2015,PS4,"Kendalikan salah satu dari lima karakter yang dapat dimainkan dalam Edisi Spesial Devil May Cry 4, versi terbaik dari game aksi bergaya yang sangat sukses! Devil May Cry 4 membawa pemain ke dunia supernatural bergaya gotik, di mana protagonis baru berbenturan dengan pahlawan yang sudah dikenal. Sebagai tokoh utama baru, Nero, pemain akan melepaskan serangan luar biasa dan kombo tanpa henti menggunakan mekanisme permainan baru yang unik, lengan ""Devil Bringer"" miliknya yang perkasa.",https://romsfun.com/wp-content/uploads/2021/04/1618735682-5bb975f0-f9f9-4b33-b65e-55016856e2d5.jpg,,
Devil May Cry 5,"[""Action"", ""Hack and Slash""]",8.8,35,2019,PS4,"Sang Iblis yang Anda kenal kembali dalam seri aksi yang luar biasa ini. Bersiaplah untuk menghadapi kekuatan iblis yang sesungguhnya dengan perpaduan khas aksi bergaya berkecepatan tinggi dan karakter-karakter orisinal dan unik yang menjadi ciri khas seri ini. Sutradara Hideaki Itsuno dan tim inti telah kembali untuk menciptakan pengalaman aksi paling gila, canggih secara teknis, dan benar-benar tak boleh dilewatkan di generasi ini! Ancaman kekuatan iblis telah kembali mengancam dunia sekali lagi di Devil May Cry 5. Invasi dimulai ketika benih ""pohon iblis"" berakar di Kota Red Grave. Saat serangan mengerikan ini mulai menguasai kota, seorang pemburu iblis muda, Nero, tiba bersama rekannya, Nico, dengan mobil karavan ""Devil May Cry"" mereka. Karena kehilangan fungsi lengan kanannya, Nero meminta bantuan Nico, seorang seniman senjata yang mengaku ahli, untuk mendesain berbagai lengan Devil Breaker mekanik unik untuk memberinya kekuatan ekstra dalam menghadapi iblis jahat seperti Empusa yang terbang dan penghisap darah serta musuh raksasa Goliath.",https://romsfun.com/wp-content/uploads/2021/04/1618735683-67e9cacd-bcfb-4d74-994a-47b69c273fad.jpg,,
DIRT 5,"[""Racing"", ""Sports""]",7.8,50,2020,PS4,"DiRT 5 adalah pengalaman balap off-road paling berani yang diciptakan oleh Codemasters. Jelajahi jalur di seluruh dunia, meliputi kerikil, es, salju, dan pasir, dengan beragam mobil mulai dari ikon reli hingga truk, hingga mobil GT unggulan. Dengan mode Karir bertabur bintang, layar terpisah empat pemain, mode online inovatif, editor livery, dan lebih banyak fitur baru, DIRT 5 adalah generasi selanjutnya dari balap ekstrem.",https://romsfun.com/wp-content/uploads/2024/07/DIRT-5.jpg,,
Disney Infinity 3.0,"[""Adventure"", ""Family""]",7.5,15,2015,PS4,"Jika menyebut nama Disney, Anda pasti mengenal serangkaian film animasi terkenal yang dirilis di bawah naungan studio ini. Selain film animasi terkenal yang dirilis di seluruh dunia, Disney juga merambah ke segmen game. Salah satu game unik yang terkenal adalah “Disney Infinity 3.0”. Ini adalah game aksi-petualangan yang terinspirasi dari kisah Disney yang terkenal. Saat memasuki game, Anda akan berubah menjadi karakter kartun terkenal tergantung pada cerita yang dibuka di dalamnya untuk menjadi karakter yang imersif dan melakukan tugas-tugas gila. Game ini akan memandu Anda melalui 2 proses gameplay yang menarik, yaitu bermain di set dan membuka kotak mainan 3.0. Untuk bermain, Anda akan menjelajahi dunia karakter Disney untuk mengeksplorasi berbagai lingkungan dan cerita misterius yang dapat membuka petualangan baru di kotak mainan 3.0. Game ini akan menggabungkan elemen animasi Disney dan penjahat Marvel sehingga Anda harus mengikuti karakter untuk mengalahkan bos terakhir yang ada di area permainan.",https://romsfun.com/wp-content/uploads/2019/11/disney-infinity-3.0-ps4-wiki.png,,
Disney Pixar Toy Story 3,"[""Adventure"", ""Platformer""]",7.7,8,2010,PS4,Game petualangan berdasarkan film Toy Story dengan mode cerita dan eksplorasi.,https://cdn.awsli.com.br/2500x2500/2479/2479795/produto/179811645/disney-pixar-toy-story-3-i-midia-digital-ps4-768f48d1.jpg,,
Disney Pixars Up,"[""Adventure"", ""Family""]",7.2,6,2009,PS4,Game petualangan ringan berdasarkan film Pixar Up.,https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,,
Disney's Tarzan (PS1),"[""Action"", ""Platformer""]",7.4,1,1999,PS4,Game klasik platformer dengan aksi ayunan di hutan.,https://m.media-amazon.com/images/M/MV5BYmQyOGNmNzctMjc5OC00N2I0LTg0YTMtMGJhNTZlNzcxNzczXkEyXkFqcGc@._V1_.jpg,,
Divinity Original Sin 2 Definitive Edition,"[""RPG"", ""Strategy""]",9,42,2018,PS4,RPG taktis mendalam dengan kebebasan pilihan dan co-op.,https://romsfun.com/wp-content/uploads/2021/07/91jApgC-gdL-300x374-1.jpg,,
Doom 3 VR,"[""FPS"", ""Horror""]",7.6,17,2021,PS4,"Doom 3: VR Edition menghadirkan Doom 3 dan ekspansinya, Resurrection of Evil dan The Lost Mission, yang telah dirombak untuk teknologi PS VR. Ungkap rahasia eksperimen keji UAC, temui monster-monster aneh di lingkungan yang sempit, dan gunakan beragam senjata ikonik (dan bahkan dari dunia lain) dengan tekstur, shader, dan efek suara baru saat Anda bertahan melawan kekuatan Neraka selama lebih dari 15 jam aksi yang menegangkan. Rasakan kengerian yang lebih dekat dengan peningkatan VR terbaru yang memungkinkan Anda mengintip di balik sudut, membidik dengan senjata yang dilengkapi senter menggunakan kontrol gerakan, fungsi putar cepat 180 derajat untuk menangkap iblis yang menyelinap dari belakang, dan tampilan imersif yang terpasang di pergelangan tangan untuk melacak kesehatan, armor, dan amunisi Anda. Dikombinasikan dengan perpaduan gameplay aksi dan horor yang sangat dipuji dari Doom 3 asli, penggemar realitas virtual akan mendapatkan pengalaman yang luar biasa dengan Doom 3: VR Edition.",https://romsfun.com/wp-content/uploads/2025/04/Doom-3-VR.jpg,,
DOOM Eternal,"[""FPS"", ""Action""]",9,45,2020,PS4,"Pasukan Neraka telah menyerbu Bumi. Jadilah Sang Pembunuh Iblis dalam kampanye pemain tunggal yang epik untuk menaklukkan iblis di berbagai dimensi dan menghentikan kehancuran terakhir umat manusia. Satu-satunya yang mereka takuti… adalah dirimu. Rasakan kombinasi kecepatan dan kekuatan terbaik di DOOM Eternal – lompatan berikutnya dalam pertempuran orang pertama yang agresif. Tingkat Ancaman Pembunuh Iblis Maksimum Dipersenjatai dengan penyembur api yang terpasang di bahu, pisau yang dapat ditarik yang terpasang di pergelangan tangan, senjata dan modifikasi yang ditingkatkan, serta kemampuan, kamu lebih cepat, lebih kuat, dan lebih serbaguna dari sebelumnya. Trinitas Tak Suci Ambil apa yang kamu butuhkan dari musuhmu: Lakukan Glory Kill untuk mendapatkan kesehatan ekstra, bakar untuk mendapatkan armor, dan gergaji iblis untuk menambah amunisi agar menjadi pembunuh iblis terhebat. Masuk ke Mode Pertempuran Pengalaman multipemain 2 lawan 1 yang baru. Seorang Pembunuh Iblis DOOM yang bersenjata lengkap berhadapan dengan dua iblis yang dikendalikan pemain, bertarung dalam pertandingan terbaik dari lima ronde pertempuran orang pertama yang intens.",https://romsfun.com/wp-content/uploads/2021/04/1618735710-5dea2493-568e-45ad-bc28-48d08e55a43b.jpg,,
Dragon Ball Xenoverse 2 Deluxe Edition,"[""Fighting"", ""RPG""]",8.2,35,2016,PS4,"Jika Anda adalah penggemar setia serial Dragon Ball yang dirilis beberapa tahun terakhir, maka Anda pasti tidak akan melewatkan serial “Dragon Ball Xenoverse 2”. Game yang dikembangkan berdasarkan manga Jepang terkenal ini menjanjikan pengalaman yang mendebarkan. Dengan gameplay yang mirip dengan versi game sebelumnya, game ini menggunakan arena 3D untuk mensimulasikan area kosmik Dragon Ball. Saat memasuki game, pemain dapat memilih salah satu dari lima ras untuk memulai pertempuran: ras Manusia, Saiyan, Majin, Namekian, dan Frieza. Saat memulai misi, pemain akan mempelajari beberapa keterampilan bertarung melalui para master seperti pada versi sebelumnya. Pemain akan diberikan berbagai senjata yang sesuai dengan ras yang dipilih untuk memasuki pertandingan. Selama pertempuran sengit, pemain dapat menggunakan kemampuan terbang karakter untuk berpindah ke area permainan yang berbeda. Game ini telah meraih kesuksesan di bidang komersial dengan penjualan lebih dari 1,4 juta kopi di seluruh dunia setelah dirilis.",https://romsfun.com/wp-content/uploads/2019/11/dragon-ball-xenoverse-2-ps4.jpg,,
Dragon Ball Z Kakarot,"[""Action"", ""RPG""]",8,50,2020,PS4,"Hidupkan kembali kisah Goku dan para Z Fighter lainnya di Dragon Ball Z: Kakarot! Di luar pertempuran epik, alami kehidupan di dunia Dragon Ball Z saat kamu bertarung, memancing, makan, dan berlatih bersama Goku, Gohan, Vegeta, dan lainnya. Jelajahi area dan petualangan baru saat kamu melanjutkan cerita dan menjalin ikatan yang kuat dengan para pahlawan lain dari alam semesta Dragon Ball Z.",https://romsfun.com/wp-content/uploads/2021/04/1618735717-d41e8066-78b3-4d08-a282-c374ba8663a0.jpg,,
Dying Light 2 Stay Human,"[""Action"", ""RPG"", ""Open World""]",7.9,60,2022,PS4,"Sudah 20 tahun sejak peristiwa dalam game aslinya. Virus telah menang, dan umat manusia perlahan-lahan sekarat. Anda bermain sebagai Aiden Caldwell, seorang Peziarah pengembara yang mengantarkan barang, membawa berita, dan menghubungkan beberapa pemukiman penyintas yang tersisa di tanah tandus yang hancur akibat virus zombie. Namun, tujuan sejati Anda adalah menemukan adik perempuan Anda, Mia, yang Anda tinggalkan saat masih kecil untuk melarikan diri dari eksperimen penyiksaan Dr. Waltz. Dihantui oleh masa lalu, Anda akhirnya memutuskan untuk menghadapinya ketika mengetahui bahwa Mia mungkin masih hidup di Villedor — kota terakhir yang masih berdiri di Bumi. Anda akan segera mendapati diri Anda berada di sebuah pemukiman yang dilanda konflik. Anda perlu terlibat dalam pertempuran yang kreatif dan berdarah, jadi asah keterampilan Anda untuk mengalahkan gerombolan zombie dan menjalin sekutu. Jelajahi kota, berlari bebas melintasi bangunan dan atap Villedor untuk mencari harta karun di daerah terpencil, dan waspadai malam hari. Setiap matahari terbenam, monster menguasai jalanan.",https://romsfun.com/wp-content/uploads/2024/07/Dying-Light-2-Stay-Human.jpg,,
